@id,name,highway,maxspeed
112926102,Avenida Circunvalación Oeste,trunk,60
112926103,Pasaje Estadium,residential,
112926104,Pasaje Mercadillo,residential,
112926215,Avenida Leonidas Hallasi,tertiary,
112926216,Jirón 14 De Setiembre,residential,
112926217,Jirón Andahuaylas,residential,
112926218,Jirón Yahuar Huaca,residential,
112926219,Jirón Sinchi Roca,residential,
112926220,Jirón San Martín de Porres,residential,
112926222,,residential,
112926224,Jirón Las Margaritas,residential,
112926225,Jirón Las Flores,residential,
112926226,,residential,
112926227,Jirón Los Heroes,residential,
112926228,Jirón Escuri,residential,
112926229,Jirón Copacaba,residential,
112926230,Balboa,residential,
112926231,Luis Guerra,residential,
112926232,Avenida Nestor Caceres Velasquez,tertiary,
112926233,Jirón Los Diamantes,residential,
112926234,Jirón Las Orquideas,residential,
112926235,Jirón Justino Guillen,residential,
112926236,Jirón Inca Roca,residential,
112926237,Jirón Los Jazmines,residential,
112926238,Avenida Manco Capac,tertiary,
112926239,Jirón Alfonso Ugarte,residential,
112926240,Huancayo,residential,
112926241,Jirón La Paz,residential,
112926243,,residential,
112926244,Cultura,residential,
112926245,Tupac Catari,residential,
112926246,Cajamarca,residential,
112926247,Jirón Hatun Rumiyoc,residential,
112926248,,residential,
112926250,,residential,
112926251,Jirón Marañon,residential,
112926252,Pasaje Las Amapolas,residential,
112926253,Jirón Manco Inca,residential,
112926254,Jirón 20 de Mayo,residential,
112926256,Jirón 20 de Mayo,residential,
112926257,Jirón Santa Rosa de Lima,residential,
112926258,,residential,
112926259,Jirón Alto La Paz,residential,
112926260,Jirón Escolar,residential,
112926261,Jirón Guardia Civil,residential,
112926262,Jirón Libertadores,residential,
112926263,Jirón Ancash,residential,
112926265,Avenida Huayna Capac,residential,
112926266,,residential,
112926267,Jirón Miraflores,residential,
112926268,Jirón Las Gardenias,residential,
112926269,Jirón 24 de Junio,residential,
112926270,Jirón Huayna Picchu,residential,
112956957,Jirón Jerusalen,residential,
112956958,Uruguay,residential,
112956959,Jirón José de la Riva-Agüero,residential,
112956960,Pasaje Triunfo,residential,
112956961,Jirón Amistad,tertiary,
112956962,Jirón Los Andes,residential,
112956963,Jirón Floral,residential,
112956964,Jirón San Isidro,residential,
112956965,Clorinda Matto de Turner,residential,
112956966,Jirón Marineros,residential,
112956967,Jirón Chupa,residential,
112956968,Jirón 12 de Agosto,residential,
112956969,Jirón Ayabacas,residential,
112956970,,residential,
112956971,,residential,
112956972,Jirón Colonial,residential,
112956973,Jirón Huascarán,residential,
112956974,Pasaje Bonete,residential,
112956976,Jirón Chupa,residential,
112956977,Jirón Illimani,residential,
112956978,Jirón Siglo XX,residential,
112956979,Jirón 19 De Febrero,residential,
112956981,Jirón Los Leones,residential,
112956982,Pasaje Manco Cápac,residential,
112956983,Jirón Goyoneche,residential,
112956984,Jirón Colonial,residential,40
112956985,Jirón Apolo Once,residential,
112956986,Gaviotas,residential,
112956987,Jirón Revolución,residential,
112956988,Avenida Emancipación,residential,
112956989,Jirón Rukus,residential,
112956990,Jirón Manuel Asencio Segura,residential,
112956991,Pasaje Escuri,residential,
112956992,Chachani,residential,
112956993,Jirón Océano Pacífico,residential,
112956994,Jirón Cajamarca,residential,
112956995,Jirón 19 De Febrero,residential,
112956996,Infancia,tertiary,
112956997,Pasaje Ananea,residential,
112956998,Huandoy,residential,
112956999,Jirón Uruguay,residential,
112957000,Jirón Nueva,residential,
112957001,Pasaje Misti,residential,
112957002,Jirón José de la Riva-Agüero,residential,
112957003,Jirón Andamarca,residential,
112957004,Jirón Felipe Pardo Aliaga,residential,
112957005,Jirón Pusi,residential,
112957006,Jirón Ollanta,residential,
112957007,Pasaje Ichu,residential,
112957008,Jirón Ausangate,residential,
112957009,Jirón Huascarán,residential,
112957010,Pasaje Zela,residential,
112957011,Avenida Ramon Gutierrez Paz,tertiary,
112957012,Jirón Luis Banchero,residential,
112957013,Jirón Ubinas,residential,
112957014,Jirón Toquio,residential,
112957016,Jirón Palmeras,residential,
112957017,Jirón Nueva Calle,residential,
112957018,Pasaje Aricoma,residential,
