latitude,longitude,altitude,geometry,coordinates,@id,area,highway,bridge,bridge:name,ele,layer,maxweight,ref,source,name,oneway,surface,lane_markings,maxspeed,lanes,bicycle,foot,junction,source:geometry,alt_name,service,name:en,name:qu,access,incline,fixme,covered,lit,horse,construction,footway,crossing,tracktype,motorcar,embankment
,,,LineString,"-70.209961,-15.390497,-70.2093441,-15.3897212,-70.2088238,-15.3894005,-70.2087004,-15.389385,-70.2085234,-15.3890902,-70.2073325,-15.3883506,-70.206265,-15.387461,-70.2057929,-15.3870731,-70.2055086,-15.3869748,-70.2053691,-15.38668,-70.2043069,-15.3862352",way/682534338,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2255127,-15.4307241,-70.2275567,-15.428352,-70.2294718,-15.4273643,-70.2304696,-15.4271006,-70.2314888,-15.4266093,-70.2318107,-15.4263559,-70.2321916,-15.4258284,-70.2324866,-15.4254768,-70.2328031,-15.4254354",way/682733946,,tertiary,,,,,,PU-785,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2328031,-15.4254354,-70.2331947,-15.4251407,-70.2347271,-15.4236062,-70.235067,-15.4233839,-70.2353644,-15.4231148,-70.2354918,-15.4230739,-70.2361776,-15.4231324,-70.2379679,-15.4223484,-70.2411419,-15.4195461,-70.2413907,-15.4189377,-70.2414028,-15.417282,-70.2414453,-15.4163811,-70.2424467,-15.4145089,-70.2440852,-15.4113964,-70.2456025,-15.4086174,-70.2463953,-15.4069579,-70.2469497,-15.4056159,-70.2479814,-15.4027432,-70.2482363,-15.401965,-70.2484851,-15.4006427,-70.2485762,-15.3995603,-70.2487643,-15.3992444,-70.2488493,-15.3984545,-70.2487704,-15.3983199,-70.248734,-15.3980683,-70.2487764,-15.3978284,-70.248649,-15.397296",way/682733947,,tertiary,,,,,,PU-785,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2758034,-15.4328942,-70.2758235,-15.4328422,-70.2758583,-15.4327698,-70.2759576,-15.4326974,-70.276089,-15.4326198,-70.2762097,-15.4324931,-70.2762875,-15.4323613,-70.2773639,-15.4298366,-70.2786444,-15.4267068,-70.2793727,-15.4229744,-70.2800888,-15.4190956,-70.2806707,-15.4178792,-70.2810509,-15.4170975,-70.2815954,-15.4160118,-70.282785,-15.4135821,-70.2832266,-15.4126821,-70.2834059,-15.4121411,-70.2839671,-15.41027,-70.2845374,-15.4083457",way/682733949,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2900391,-15.4094452,-70.289656,-15.4095547,-70.2893018,-15.4096146,-70.2888258,-15.4096611,-70.288559,-15.4096212,-70.288359,-15.4096877,-70.288221,-15.4097033,-70.2879703,-15.4096101,-70.2875886,-15.4094904,-70.2870229,-15.40918,-70.2867101,-15.4089517,-70.2861306,-15.4087921,-70.2857742,-15.4085659,-70.2856914,-15.4085416,-70.285443,-15.4085504,-70.2850544,-15.4085682,-70.2848658,-15.4084861,-70.2845374,-15.4083457,-70.2842196,-15.4081846,-70.283348,-15.4078365,-70.2829065,-15.4075749,-70.2827961,-15.407371,-70.2815405,-15.4070163,-70.2810484,-15.4062758",way/682774736,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2845374,-15.4083457,-70.2865933,-15.4014709",way/682774737,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.282785,-15.4135821,-70.2689971,-15.4012558,-70.2687113,-15.4013701,-70.2684185,-15.4014104,-70.2681187,-15.4013969,-70.2677771,-15.4008189,-70.2677493,-15.4003552,-70.2667733,-15.3991723,-70.2659576,-15.397855,-70.2657694,-15.3969947,-70.2652187,-15.3962352,-70.2648685,-15.395708,-70.2639918,-15.3941786,-70.263685,-15.3933452,-70.2631901,-15.3923908,-70.2631343,-15.3920278,-70.2625627,-15.391107,-70.2626672,-15.3903811",way/682774738,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2283965,-15.470918,-70.2282075,-15.4705991,-70.2269109,-15.468906,-70.2252813,-15.4668244,-70.2249903,-15.4664832,-70.224714,-15.466204,-70.2244055,-15.4659203,-70.2239844,-15.4655965,-70.2199182,-15.4628343,-70.2191404,-15.4621777,-70.2188627,-15.461905,-70.2184752,-15.4614901,-70.2145561,-15.456928,-70.212514,-15.454747,-70.2112262,-15.4530181,-70.2099752,-15.449117,-70.2099476,-15.4485141,-70.2107938,-15.4447548,-70.2095428,-15.4438592",way/682778314,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.250339,-15.470231,-70.2396908,-15.4646631,-70.2308742,-15.4581027,-70.2272058,-15.4557846,-70.2226181,-15.4528157,-70.2165562,-15.4487636,-70.2107938,-15.4447548",way/682895537,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2095428,-15.4438592,-70.208888,-15.4434151",way/682895538,,unclassified,yes,,,1,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.208888,-15.4434151,-70.2086237,-15.4432492,-70.2054525,-15.4422494,-70.204457,-15.4417672",way/682895539,,unclassified,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
