latitude,longitude,altitude,geometry,coordinates,@id,area,highway,bridge,bridge:name,ele,layer,maxweight,ref,source,name,oneway,surface,lane_markings,maxspeed,lanes,bicycle,foot,junction,source:geometry,alt_name,service,name:en,name:qu,access,incline,fixme,covered,lit,horse,construction,footway,crossing,tracktype,motorcar,embankment
,,,Polygon,"-70.1434378,-15.4916881,-70.1434278,-15.4916397,-70.1434075,-15.4915422,-70.1433947,-15.4914778,-70.1434709,-15.4914633,-70.143492,-15.4915732,-70.1435122,-15.4916704,-70.1434378,-15.4916881",way/592461743,yes,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1398278,-15.4377442,-70.1402397,-15.4366904",way/23604418,,trunk,yes,Puente Maravillas,3723,1,60,PE-3S,MTC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1358368,-15.4812904,-70.1360733,-15.481322,-70.1361327,-15.4813302,-70.1362335,-15.4813414",way/23782700,,trunk,,,,,,,,Avenida Circunvalación Norte,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1358021,-15.4815074,-70.1355678,-15.4814748,-70.1354457,-15.4814545,-70.1352853,-15.4814286,-70.1346836,-15.4813315,-70.1336847,-15.4811553,-70.1326681,-15.4810257,-70.1319856,-15.4809184,-70.1310841,-15.4807959,-70.1303935,-15.4806772,-70.1296774,-15.4805403,-70.1294929,-15.4805117,-70.1288396,-15.4804072,-70.1287105,-15.4803872,-70.1286565,-15.4803791,-70.1284418,-15.4803469,-70.1280809,-15.4803434,-70.1277228,-15.4803995,-70.1273163,-15.4805073,-70.1269453,-15.4806819",way/23782740,,trunk,,,,,,PE-3S,,Avenida Circunvalación Norte,yes,paved,no,60,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1246224,-15.484965,-70.1250619,-15.4854002,-70.1255094,-15.4858182,-70.1262908,-15.4865589,-70.1269837,-15.4871907,-70.1271213,-15.4872648,-70.1277988,-15.4880527,-70.1285952,-15.4887151",way/23782762,,residential,,,,,,,,Jirón Enrique P. Caceres,,concrete,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1209102,-15.4901751,-70.1213526,-15.4903481,-70.1221335,-15.4906886",way/23782763,,tertiary,,,,,,,,Avenida San Martín,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.118826,-15.499761,-70.1186146,-15.5003047,-70.1183901,-15.5008691,-70.1181924,-15.5013829,-70.1179826,-15.5019046,-70.117696,-15.5026328,-70.1176156,-15.5028634",way/23782809,,primary,,,,,,,,Avenida Circunvalación Este,,,,60,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1153189,-15.4840667,-70.1146608,-15.4838145,-70.1141724,-15.4836262,-70.1136615,-15.4834518,-70.1132128,-15.4832998,-70.1126546,-15.483083,-70.1121377,-15.4829044,-70.1117352,-15.4827691,-70.1112909,-15.4826349,-70.1106631,-15.4824411,-70.1100363,-15.4822564,-70.1094026,-15.4820203,-70.1089694,-15.4818662,-70.1085062,-15.4817014,-70.1080672,-15.4815452,-70.1074123,-15.4813101,-70.1069043,-15.4811278,-70.1066679,-15.4810429,-70.1064487,-15.4809642,-70.1062278,-15.4808849,-70.1057757,-15.4807214,-70.1053183,-15.4805584,-70.1048623,-15.4803948,-70.1043911,-15.4802285,-70.1042001,-15.480157,-70.1041658,-15.4801447,-70.1035924,-15.4799389,-70.1031332,-15.479774,-70.1026776,-15.479613,-70.1022455,-15.4794554,-70.1016393,-15.4792378,-70.1011373,-15.4790661,-70.1006922,-15.4789139,-70.100296,-15.4787784,-70.0998301,-15.4786191,-70.0990106,-15.4783684",way/23782864,,residential,,,,,,,,Jirón Lambayeque,,unpaved,,,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1298931,-15.4996146,-70.1299207,-15.4994649,-70.1304292,-15.4981641,-70.1307012,-15.497469,-70.1310728,-15.4965016,-70.1312801,-15.4959949,-70.1313188,-15.4959005",way/23782914,,primary,,,,,,,,Jirón Noriega,yes,,,45,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1355193,-15.4835789,-70.1352282,-15.4835056,-70.1351132,-15.4834776,-70.1348744,-15.4834175,-70.13399,-15.483214,-70.1330107,-15.4829631,-70.1320313,-15.4827102,-70.1308129,-15.4824551",way/23782937,,residential,,,,,,,,Jirón Umachiri,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1244568,-15.4848189,-70.1237452,-15.4841344,-70.1231466,-15.483545,-70.1223547,-15.4827779,-70.1214609,-15.481872,-70.1213404,-15.4817519,-70.1205967,-15.4810105,-70.1205912,-15.481005,-70.1200057,-15.4804212,-70.1196593,-15.480084,-70.1193386,-15.4797586,-70.1190058,-15.4794182,-70.11869,-15.4791035,-70.1181439,-15.4785576,-70.1177054,-15.4781221,-70.1175362,-15.4779508,-70.1170206,-15.4774289,-70.1159948,-15.4763902,-70.1151137,-15.4754982,-70.114545,-15.4749225,-70.1141358,-15.474494,-70.1141143,-15.4744715,-70.1140631,-15.4744149,-70.113469,-15.4738238,-70.1128465,-15.4731986,-70.1121004,-15.472429,-70.1116556,-15.4718223,-70.1113642,-15.4713866,-70.1110617,-15.4708371,-70.1107644,-15.4703399,-70.1107211,-15.4702558,-70.1103972,-15.4697645,-70.1100683,-15.4692181,-70.1095524,-15.4683311,-70.1094429,-15.4681227,-70.1091528,-15.4675704,-70.1089353,-15.4671564,-70.1087368,-15.4667781,-70.1084871,-15.4663024,-70.1082139,-15.4657792,-70.1078815,-15.4651424,-70.107378,-15.4641781,-70.1072287,-15.463988,-70.1070785,-15.4639289,-70.1069121,-15.4639269,-70.1066535,-15.4640089",way/26348331,,trunk,,,,,,PE-34H,,Avenida Huancané,yes,asphalt,,60,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1567454,-15.4712856,-70.1567451,-15.4713315,-70.1565813,-15.472194,-70.1564949,-15.4724034",way/26348354,,primary,,,,,,,,Aviacion,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1271213,-15.4872648,-70.1279745,-15.4875746,-70.1288923,-15.4879077,-70.1298697,-15.4882626,-70.1308179,-15.4886068,-70.1317898,-15.4889597,-70.132626,-15.4892632,-70.133201,-15.489472,-70.1334535,-15.4895636,-70.1334629,-15.4895671,-70.1334837,-15.4895746,-70.1337379,-15.4896669",way/29093032,,residential,,,,,,,,Jirón Sucre,yes,,,30,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1283991,-15.5033329,-70.1283619,-15.5034253,-70.1276797,-15.5051417,-70.1259466,-15.5095189,-70.1251178,-15.5114495,-70.1250668,-15.5115684,-70.1243662,-15.5131563,-70.1220255,-15.518628,-70.1219987,-15.5186895,-70.1219329,-15.518833,-70.1192845,-15.524919,-70.1190553,-15.5254736,-70.1177046,-15.5287238,-70.1176524,-15.5290258,-70.1176517,-15.5291617,-70.1176751,-15.5293634",way/30617662,,trunk,,,,,,PE-3S,,Autopista Mártires del 4 de Noviembre,yes,asphalt,,90,,no,no,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1234198,-15.488025,-70.1244785,-15.4884337,-70.1254952,-15.4887852,-70.1267416,-15.4892494,-70.1272436,-15.4894227,-70.1281604,-15.4897614,-70.129122,-15.4901137,-70.1301028,-15.4904729,-70.1310623,-15.4908244,-70.1314406,-15.4909629,-70.1318929,-15.4911286,-70.1327145,-15.4914295,-70.1327347,-15.4914349,-70.1327633,-15.4914474,-70.1328444,-15.4914771,-70.1330092,-15.4915375,-70.1337209,-15.4917981",way/37777034,,tertiary,,,,,,,,Jirón Huancané,yes,asphalt,,40,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1031693,-15.4829888,-70.1036575,-15.4831532,-70.104117,-15.4833187,-70.1045529,-15.4834756,-70.105005,-15.4836384,-70.105462,-15.4838029,-70.1059557,-15.4839807,-70.1065318,-15.4841881,-70.1069866,-15.4843518,-70.107443,-15.4845162,-70.1079106,-15.4846845,-70.1083544,-15.4848443,-70.108974,-15.4850673,-70.1095834,-15.4852867,-70.1101678,-15.485479,-70.1107521,-15.4857075,-70.1112049,-15.4858675,-70.1116486,-15.4860243,-70.1121013,-15.4861843,-70.1125549,-15.4863446,-70.1130291,-15.4865122,-70.1134998,-15.4866771,-70.1144226,-15.4870048,-70.1150394,-15.4872119,-70.1155864,-15.4874161,-70.1165599,-15.4877515,-70.1170934,-15.4879273,-70.1172364,-15.4879788,-70.1176618,-15.488129,-70.1184033,-15.4883745,-70.119383,-15.4887248,-70.1200155,-15.4889621,-70.1209079,-15.4892891,-70.1216391,-15.4895707,-70.1224413,-15.4898878,-70.1226455,-15.4899678,-70.1237175,-15.4903778,-70.1243465,-15.4906322,-70.1248176,-15.4908144,-70.125284,-15.4909675,-70.1256625,-15.4911251,-70.1264462,-15.4914293,-70.1274071,-15.4917602,-70.128368,-15.4920657,-70.1293298,-15.492412,-70.1303216,-15.4927416,-70.131169,-15.4929987,-70.1315472,-15.4931099,-70.1320252,-15.4932411,-70.1320449,-15.4932465,-70.132067,-15.4932487,-70.1323565,-15.4932258",way/112883787,,residential,,,,,,,,Jirón Piérola,yes,concrete,,30,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1234907,-15.4923401,-70.1231111,-15.4932866,-70.1227236,-15.4942261,-70.1223121,-15.4952627",way/112883791,,residential,,,,,,,,Jirón San Isidro,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1219347,-15.500759,-70.1219008,-15.5008616,-70.1214721,-15.5019513,-70.1212033,-15.5026286,-70.121048,-15.5030297,-70.1205812,-15.5042068,-70.1200912,-15.505436,-70.1194897,-15.5069909,-70.1193109,-15.5074391",way/112883792,,residential,,,,,,,,Francisco Bolognesi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1324101,-15.4816853,-70.1309853,-15.4814377,-70.1302691,-15.4813374,-70.1295959,-15.4812129,-70.1287636,-15.4810868,-70.1283663,-15.4810507,-70.1280416,-15.4810648,-70.1277097,-15.4811351,-70.1272825,-15.4813008,-70.1269484,-15.4815366,-70.1266937,-15.4818049,-70.1264396,-15.4822286",way/112883793,,residential,,,,,,,,Jirón José carlos Mariategui,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1195947,-15.501289,-70.1191824,-15.5023441,-70.1186573,-15.5036992,-70.1181586,-15.5049556,-70.1180296,-15.5052767,-70.1178262,-15.5058603",way/112883794,,residential,,,,,,,,Coata,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1189233,-15.5069177,-70.1194897,-15.5069909,-70.1201943,-15.5070924,-70.1207383,-15.5071747,-70.1214533,-15.5072821,-70.1223912,-15.5074185,-70.1234407,-15.5075746,-70.1245099,-15.507711,-70.1254784,-15.5078627,-70.1262258,-15.5079747",way/112883795,,residential,,,,,,,,Jirón Chucuito,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1287562,-15.4992115,-70.1283895,-15.5001578,-70.1280775,-15.5009715,-70.1277146,-15.5019521,-70.1275533,-15.5023656,-70.1273753,-15.5028301,-70.127338,-15.5029215,-70.1269775,-15.5038941,-70.1266152,-15.5048357,-70.1262554,-15.5057928,-70.1258701,-15.5068196,-70.1254784,-15.5078627,-70.1251635,-15.5087012,-70.1248057,-15.5096073",way/112883798,,residential,,,,,,,,Jirón Almagro,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.135293,-15.482497,-70.1348744,-15.4834175,-70.1344811,-15.4844227,-70.1340879,-15.4854602,-70.1337285,-15.4864325,-70.1333254,-15.4874166,-70.1329575,-15.4883418,-70.132626,-15.4892632,-70.1322427,-15.4901788,-70.1318929,-15.4911286,-70.131816,-15.4913532,-70.1315693,-15.4919935,-70.131169,-15.4929987,-70.1307855,-15.493966",way/112883799,,residential,,,,,,,,Jirón 8 de Noviembre,yes,,,30,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.121956,-15.491786,-70.1227268,-15.4920666,-70.1230354,-15.492164,-70.1234907,-15.4923401,-70.1242039,-15.4926023,-70.1245673,-15.4927343,-70.1246708,-15.4927709,-70.1251019,-15.492927,-70.1257255,-15.4931532,-70.1267072,-15.4935272,-70.1276614,-15.4938889,-70.1286479,-15.4942112,-70.1295987,-15.4945555",way/112883800,,residential,,,,,,,,Jirón Azángaro,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1224435,-15.4955141,-70.12232,-15.4959259,-70.1222412,-15.4961606,-70.1220191,-15.4967497,-70.1216403,-15.4977002,-70.1213043,-15.4985458,-70.1209534,-15.4995017,-70.1206742,-15.5001423,-70.1206257,-15.5002757",way/112883801,,residential,,,,,,,,Jirón Santa Rosa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1271213,-15.4872648,-70.1273241,-15.4869002,-70.1275576,-15.486348,-70.1279164,-15.4854993,-70.1283031,-15.4845835,-70.1286846,-15.4836824",way/112883802,,residential,,,,,,,,Jirón Túpac Amaru,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1264306,-15.4835567,-70.126187,-15.4841642,-70.1259365,-15.4848305,-70.1255915,-15.4856107,-70.1255094,-15.4858182,-70.1252319,-15.4865346,-70.1248379,-15.4875108,-70.1244785,-15.4884337,-70.124117,-15.4893287,-70.1237175,-15.4903778,-70.123391,-15.4912092,-70.1230354,-15.492164",way/112883803,,residential,,,,,,,,Jirón El Maestro,no,,,40,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1212149,-15.495736,-70.1209547,-15.4963613,-70.1206023,-15.4972946,-70.1202313,-15.4981717,-70.1198455,-15.4991156,-70.1195206,-15.4998725,-70.1194613,-15.4999987,-70.1192309,-15.5005961,-70.1190252,-15.5010916,-70.1186044,-15.5021291",way/112883804,,residential,,,,,,,,Jirón Juan Velasco Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1212033,-15.5043779,-70.1207597,-15.5055953,-70.1201943,-15.5070924",way/112883807,,residential,,,,,,,,Confraternidad,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1295125,-15.4839469,-70.1302354,-15.4841986,-70.1306652,-15.484342,-70.1312954,-15.4845533,-70.1322678,-15.4848495,-70.1324111,-15.4848962,-70.1326058,-15.4849597,-70.1332401,-15.4851665,-70.1340879,-15.4854602,-70.1346724,-15.4856773,-70.1348653,-15.4857344,-70.1351555,-15.4858364",way/112883808,,residential,,,,,,,,Jirón Ayaviri,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1279857,-15.4823838,-70.1276407,-15.4818658,-70.1272825,-15.4813008,-70.1269453,-15.4806819",way/112883811,,residential,,,,,,,,Avenida Triunfo,no,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1185525,-15.5214684,-70.11927,-15.5198264,-70.1200458,-15.5180408,-70.1201004,-15.5179185,-70.120648,-15.5166482,-70.1210657,-15.5156907,-70.1218457,-15.5138675,-70.1223077,-15.5127875,-70.1228807,-15.5118764,-70.1229568,-15.5117065,-70.1232495,-15.5109489,-70.1234866,-15.5103353,-70.1238593,-15.5093707,-70.1239054,-15.5092503,-70.1241928,-15.5085249,-70.1245099,-15.507711,-70.1249261,-15.5065927,-70.1253314,-15.5055426,-70.1257135,-15.5045628,-70.1260834,-15.5036302,-70.126476,-15.5025865,-70.1265075,-15.5024995,-70.1266805,-15.502043,-70.1268411,-15.5016309,-70.1272136,-15.5006426,-70.1275331,-15.4998456,-70.1279131,-15.4989402",way/112883813,,residential,,,,,,,,Jirón Progreso,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1206504,-15.5004135,-70.1204371,-15.5010348,-70.120254,-15.5015166,-70.1198518,-15.5025857,-70.1193314,-15.5038882,-70.1190044,-15.5046998,-70.1188354,-15.5051191,-70.1186226,-15.5056572,-70.1184321,-15.5061389,-70.1183574,-15.5063279,-70.1181009,-15.5069643",way/112883819,,residential,,,,,,,,Jirón Santa Rosa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1344681,-15.4877957,-70.1342163,-15.4877213,-70.1339237,-15.4876265,-70.1333254,-15.4874166,-70.1324897,-15.4871191,-70.1319328,-15.4869209,-70.1315273,-15.4867766,-70.1305584,-15.4864317,-70.129559,-15.4860777,-70.1287533,-15.4857938,-70.1279164,-15.4854993,-70.1268024,-15.4851275,-70.1259365,-15.4848305,-70.124829,-15.4844295",way/112883821,,tertiary,,,,,,,,Jirón Cahuide,,asphalt,,,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1235104,-15.4945072,-70.1227236,-15.4942261,-70.1220063,-15.4939722",way/112883823,,residential,,,,,,,,Jirón Elias Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1285459,-15.5065508,-70.1281134,-15.5064134,-70.1274236,-15.5061506",way/112883825,,residential,,,,,,,,Jirón Los Pinos,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1293298,-15.492412,-70.1290031,-15.4933109,-70.1286479,-15.4942112,-70.12827,-15.4951364,-70.1280211,-15.4958102,-70.1279318,-15.4960663,-70.127566,-15.4970071,-70.1271933,-15.4979575,-70.1269568,-15.4985775",way/112883827,,residential,,,,,,,,Jirón Apurimac,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1323236,-15.4819452,-70.1333618,-15.482148,-70.1343108,-15.482322,-70.135293,-15.482497,-70.135402,-15.4825144,-70.1356546,-15.4825548",way/112883831,,residential,,,,,,,,Jirón Los Kollys,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1292412,-15.4954838,-70.12827,-15.4951364,-70.1273076,-15.4947922,-70.1272712,-15.4947792,-70.1267658,-15.4945984,-70.126344,-15.4944549,-70.1253388,-15.494088,-70.125062,-15.4939925,-70.1248425,-15.4939091,-70.1243984,-15.4937558,-70.124377,-15.4937479,-70.1238748,-15.4935507,-70.1231111,-15.4932866,-70.1223692,-15.4930222,-70.121552,-15.4927335",way/112883833,,residential,,,,,,,,Jirón Pumacahua,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1291279,-15.4848646,-70.1287533,-15.4857938,-70.1283955,-15.4866531,-70.1279745,-15.4875746",way/112883835,,residential,,,,,,,,Jirón Raúl Porras Barrenechea,yes,concrete,,30,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1321616,-15.4880245,-70.1329575,-15.4883418,-70.1335589,-15.4885815,-70.1338088,-15.4886734,-70.133952,-15.4887303,-70.1340858,-15.4887782",way/112883840,,residential,,,,,,,,Jirón Mariano Melgar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1235769,-15.4999548,-70.1224264,-15.499535",way/112883842,,residential,,,,,,,,Pasaje César Vallejo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1221018,-15.5081754,-70.1231388,-15.5083471,-70.1241928,-15.5085249,-70.1251635,-15.5087012,-70.1258783,-15.5088542",way/112883844,,residential,,,,,,,,Juli,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1270367,-15.4844718,-70.126187,-15.4841642,-70.1250924,-15.483784",way/112883845,,residential,,,,,,,,Carabaya,yes,asphalt,,,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1294855,-15.4818795,-70.1295959,-15.4812129,-70.1296774,-15.4805403",way/112883849,,residential,,,,,,,,Pasaje Golfo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.133201,-15.489472,-70.1335589,-15.4885815,-70.1339237,-15.4876265,-70.1343231,-15.4866351,-70.1346724,-15.4856773,-70.1349719,-15.4845616,-70.1351132,-15.4834776,-70.135293,-15.482497",way/112883851,,residential,,,,,,,,Jirón Libertad,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1239321,-15.4956552,-70.1265938,-15.4966398,-70.1267062,-15.4966823,-70.127566,-15.4970071,-70.1285042,-15.4973615",way/112883853,,residential,,,,,,,,Jirón La Mar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1299164,-15.4829056,-70.1306121,-15.4831418,-70.1317233,-15.483506,-70.132677,-15.4838391,-70.13365,-15.4841211,-70.1344811,-15.4844227,-70.1349719,-15.4845616,-70.1351075,-15.4846053,-70.1353605,-15.4846465",way/112883855,,residential,,,,,,,,Jirón Micaela Bastidas,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1334267,-15.5043382,-70.1329493,-15.5042712,-70.1321619,-15.5041751,-70.1320083,-15.5041351,-70.1312171,-15.503775,-70.1311208,-15.5037204,-70.1310896,-15.503692",way/112883857,,residential,,,,,,,,Jirón Libertad,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1316614,-15.494282,-70.1316319,-15.4942713,-70.1314059,-15.4941917,-70.1312619,-15.4941399,-70.1307855,-15.493966,-70.1299455,-15.4936696,-70.1290031,-15.4933109,-70.1280432,-15.4929585,-70.1270701,-15.4925881,-70.1261043,-15.4922407,-70.1249745,-15.4917957,-70.1245216,-15.4916376,-70.123391,-15.4912092,-70.1223749,-15.4907752",way/112883860,,tertiary,,,,,,,,Jirón San Martín,yes,,,40,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1223258,-15.4908703,-70.121956,-15.491786,-70.121552,-15.4927335,-70.1214832,-15.492923,-70.1212356,-15.4936052,-70.1210648,-15.4940593,-70.120743,-15.4948735,-70.120502,-15.4954832,-70.1202765,-15.4960863,-70.1198934,-15.4970349,-70.1195554,-15.497908,-70.1191754,-15.4988922,-70.1188729,-15.4996386,-70.118826,-15.499761",way/112883861,,trunk,,,,,,PE-3S,,Avenida Circunvalación Este,yes,asphalt,,60,2,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1219077,-15.5033511,-70.1223104,-15.502258,-70.1227276,-15.5011625",way/112883862,,residential,,,,,,,,9 de Octubre,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1240931,-15.503045,-70.1244265,-15.5031483,-70.1250853,-15.5033417,-70.1254207,-15.5034333,-70.1260834,-15.5036302,-70.1269775,-15.5038941,-70.1276891,-15.5040751",way/112883863,,residential,,,,,,,,Jirón Independencia,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1256552,-15.4898642,-70.125284,-15.4909675,-70.1251631,-15.49132,-70.1249745,-15.4917957,-70.1246708,-15.4927709,-70.1243984,-15.4937558",way/112883864,,residential,,,,,,,,Jirón Túpac Amaru,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1237537,-15.4961019,-70.1230266,-15.4958296",way/112883865,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1219347,-15.500759,-70.1222505,-15.499961,-70.1224264,-15.499535,-70.1226313,-15.4990191,-70.1229536,-15.4981823,-70.1233167,-15.4972146,-70.1235286,-15.4966142,-70.1237537,-15.4961019,-70.1239321,-15.4956552,-70.1241036,-15.4952116,-70.1241308,-15.4951263,-70.1242217,-15.4948281,-70.1240658,-15.4947638",way/112883867,,residential,,,,,,,,Francisco Bolognesi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1272636,-15.4838371,-70.1266494,-15.4836242,-70.1264306,-15.4835567,-70.125988,-15.4833886",way/112883868,,residential,,,,,,,,Jirón Vallecito,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1264396,-15.4822286,-70.1257949,-15.4819493",way/112883869,,residential,,,,,,,,Pasaje Ayaviri,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1279318,-15.4960663,-70.1288748,-15.4964564",way/112883870,,residential,,,,,,,,Aguirre,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1300402,-15.4825958,-70.1284952,-15.4823509,-70.1282113,-15.4823412,-70.1279857,-15.4823838,-70.1277778,-15.482549,-70.1276574,-15.4827389,-70.1274782,-15.4832365",way/112883871,,residential,,,,,,,,Jirón Benigno Ballón,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1299398,-15.5016357,-70.1291696,-15.501374",way/112883872,,residential,,,,,,,,Pasaje Victoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1286395,-15.48173,-70.1287636,-15.4810868,-70.1288396,-15.4804072",way/112883874,,residential,,,,,,,,Pasaje San Carlos,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.121994,-15.4953467,-70.1221104,-15.4955608,-70.12232,-15.4959259,-70.1225266,-15.4962514",way/112883875,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1326853,-15.4923826,-70.132441,-15.4922932,-70.1324175,-15.4922822,-70.1323994,-15.4922758,-70.1322561,-15.4922252,-70.1321725,-15.4921932,-70.1321597,-15.4921889,-70.1319167,-15.4921064,-70.1315693,-15.4919935,-70.1307193,-15.4916761,-70.1297526,-15.4913287,-70.1287724,-15.4909764,-70.1278294,-15.4906375,-70.126903,-15.4903045",way/112883876,,pedestrian,,,,,,,,Jirón Moquegua,,paved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1222312,-15.4906395,-70.1222868,-15.4906474,-70.1223344,-15.4906765,-70.1223655,-15.4907217,-70.1223749,-15.4907752,-70.1223608,-15.4908278,-70.1223258,-15.4908703,-70.1222759,-15.4908954,-70.1222198,-15.4908987,-70.122167,-15.4908798,-70.1221268,-15.4908418,-70.1221061,-15.4907914,-70.1221085,-15.4907372,-70.1221335,-15.4906886,-70.1221769,-15.4906541,-70.1222312,-15.4906395",way/112883877,,trunk,,,,,,,,,yes,asphalt,,40,2,,,circular,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1231773,-15.4954323,-70.1224435,-15.4955141,-70.1221104,-15.4955608",way/112883878,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1208738,-15.4849024,-70.1215028,-15.485138,-70.1224213,-15.485482,-70.1231332,-15.4857486,-70.1239885,-15.4860689,-70.124165,-15.486135,-70.1252319,-15.4865346,-70.1261739,-15.4868874,-70.1269837,-15.4871907",way/112883879,,residential,,,,,,,,Jirón Sucre,yes,concrete,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1075492,-15.4980434,-70.1079922,-15.4982022,-70.1081436,-15.4982647,-70.1084319,-15.4983662,-70.1088495,-15.4985369,-70.1093098,-15.4987058,-70.1097269,-15.4988631,-70.1101659,-15.4990288,-70.1105845,-15.4991987,-70.1110197,-15.4993651,-70.1114506,-15.4995135,-70.1118794,-15.4996818,-70.1123522,-15.4998537,-70.1127829,-15.5000222,-70.1132503,-15.500173,-70.1139042,-15.5004107,-70.1140175,-15.500451,-70.1147047,-15.500725,-70.1154501,-15.5009877,-70.1161513,-15.5012296,-70.1169317,-15.5015224,-70.1172997,-15.5016712,-70.1177754,-15.501839,-70.1179826,-15.5019046,-70.1186044,-15.5021291,-70.1191824,-15.5023441,-70.1198518,-15.5025857,-70.1205014,-15.5028244,-70.121048,-15.5030297,-70.1219077,-15.5033511,-70.1221969,-15.5034695",way/112883880,,residential,,,,,,,,Jirón Caracoto,,,,,,,,,Bing,,,,,,,,,,,,,,,,
,,,LineString,"-70.1218478,-15.4943213,-70.1210648,-15.4940593,-70.1208268,-15.4939729,-70.1200284,-15.4936834,-70.1192524,-15.4933668",way/112883881,,residential,,,,,,,,Jirón San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,
