id,nombre,latitud,longitud,riesgo,tipo
9014,Calle Colque ∩ Av. Nicolas Otto,-15.4592551,-70.1545801,35,interseccion
9015,Jr. 13 de Junio ∩ Av. Nicolas Otto,-15.4593319,-70.1550672,35,interseccion
9016,Jr. Zela ∩ Av. Nicolas Otto,-15.459407,-70.1555194,35,interseccion
9017,Jr. Camargo ∩ Av. Nicolas Otto,-15.4594889,-70.1560022,35,interseccion
9018,Jr. Universal ∩ Av. Nicolas Otto,-15.4595583,-70.1564786,35,interseccion
9019, ∩ Av. Nicolas Otto,-15.4596034,-70.1568831,35,interseccion
9020, ∩ Av. Nicolas Otto,-15.4596644,-70.157338,35,interseccion
9021, ∩ Av. Nicolas Otto,-15.4597192,-70.1577178,35,interseccion
9022, ∩ Av. Nicolas Otto,-15.4597304,-70.1578325,35,interseccion
9023, ∩ Av. Nicolas Otto,-15.459806,-70.1582761,35,interseccion
9024, ∩ Av. Nicolas Otto,-15.4598971,-70.15878,35,interseccion
9025, ∩ Av. Nicolas Otto,-15.4603071,-70.1619376,35,interseccion
9026,Jr. Volvo ∩ Jr. Ayrton Senna,-15.4568465,-70.147283,35,interseccion
9027,Jr. Volvo #5,-15.4563565,-70.1473747,35,interseccion
9028,Jr. San Anronio de Padua ∩ Jr. Volvo,-15.4557063,-70.1474578,35,interseccion
9029,Jr. Volvo #7,-15.4551825,-70.1475517,35,interseccion
9030, ∩ Jr. Volvo,-15.4548815,-70.1475889,35,interseccion
9031,Jr. Pacasmayo ∩ Jr. Volvo,-15.4545994,-70.1476448,35,interseccion
9032, ∩ Jr. Volvo,-15.4541864,-70.1476989,35,interseccion
9033, ∩ Jr. Volvo,-15.4536297,-70.1477839,35,interseccion
9034, ∩ Jr. Volvo,-15.4513401,-70.1481236,35,interseccion
9035, ∩ Jr. Volvo,-15.4494077,-70.1484176,35,interseccion
9036, ∩ Jr. Volvo,-15.4484643,-70.14858,35,interseccion
9037, ∩ Jr. Volvo,-15.4479887,-70.148655,35,interseccion
9038,Jr. Volvo #16,-15.4479485,-70.1486613,35,interseccion
9039, ∩ Jr. Volvo,-15.447526,-70.1487107,35,interseccion
9040,Jr. Volvo #18,-15.4472942,-70.1487322,35,interseccion
9041,Jr. Volvo #19,-15.4472386,-70.1487091,35,interseccion
9042,Jr. Volvo #20,-15.4472036,-70.1486679,35,interseccion
9043,Jr. Volvo #21,-15.4471195,-70.1486069,35,interseccion
9044,Jr. Volvo #22,-15.4470385,-70.1485526,35,interseccion
9045,Jr. Volvo #23,-15.4469384,-70.148513,35,interseccion
9046, ∩ Jr. Volvo,-15.4468018,-70.148518,35,interseccion
9047, ∩ Jr. Ayrton Senna,-15.4567195,-70.1463695,35,interseccion
9048, #2922,-15.4522969,-70.1475091,35,interseccion
9049, #2923,-15.4539122,-70.1472705,35,interseccion
9050, #2924,-15.4539331,-70.1468284,35,interseccion
9051, #2925,-15.45385,-70.1468431,35,interseccion
9052, #2926,-15.4535866,-70.1468579,35,interseccion
9053, #2927,-15.4533563,-70.146853,35,interseccion
9054, #2928,-15.4532401,-70.1468653,35,interseccion
9055, #2929,-15.4530193,-70.1469663,35,interseccion
9056, #2930,-15.4515647,-70.1471501,35,interseccion
9057, #2931,-15.4510903,-70.1472159,35,interseccion
9058, #2932,-15.4514993,-70.1467216,35,interseccion
9059, #2933,-15.4514385,-70.1462916,35,interseccion
9060, #2934,-15.4513682,-70.1458096,35,interseccion
9061, #2935,-15.4513114,-70.1454046,35,interseccion
9062, #2936,-15.4534602,-70.146395,35,interseccion
9063, #2937,-15.4533693,-70.1464104,35,interseccion
9064, #2938,-15.4509458,-70.1468173,35,interseccion
9065, #2939,-15.452812,-70.146115,35,interseccion
9066, #2940,-15.4502067,-70.1465172,35,interseccion
9067, #2941,-15.4492201,-70.1466508,35,interseccion
9068, #2942,-15.4480784,-70.1468448,35,interseccion
